DATAFLOW,LAST UPDATE,freq,unit,coicop18,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Albania,2018,1.8,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Albania,2019,1.7,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Albania,2020,2.2,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Albania,2021,2.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Albania,2022,6.6,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Albania,2023,5.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Albania,2024,2.6,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Albania,2025,2.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Austria,2016,1.0,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Austria,2017,2.2,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Austria,2018,2.1,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Austria,2019,1.5,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Austria,2020,1.4,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Austria,2021,2.8,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Austria,2022,8.6,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Austria,2023,7.7,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Austria,2024,2.9,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Austria,2025,3.6,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Belgium,2016,1.8,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Belgium,2017,2.2,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Belgium,2018,2.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Belgium,2019,1.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Belgium,2020,0.4,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Belgium,2021,3.2,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Belgium,2022,10.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Belgium,2023,2.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Belgium,2024,4.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Belgium,2025,3.0,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Bulgaria,2016,-1.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Bulgaria,2017,1.2,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Bulgaria,2018,2.6,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Bulgaria,2019,2.5,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Bulgaria,2020,1.2,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Bulgaria,2021,2.8,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Bulgaria,2022,13.0,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Bulgaria,2023,8.6,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Bulgaria,2024,2.6,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Bulgaria,2025,3.5,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Switzerland,2016,-0.5,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Switzerland,2017,0.6,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Switzerland,2018,0.9,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Switzerland,2019,0.4,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Switzerland,2020,-0.8,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Switzerland,2021,0.5,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Switzerland,2022,2.7,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Switzerland,2023,2.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Switzerland,2024,1.1,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Switzerland,2025,0.1,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Cyprus,2016,-1.2,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Cyprus,2017,0.7,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Cyprus,2018,0.8,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Cyprus,2019,0.5,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Cyprus,2020,-1.1,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Cyprus,2021,2.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Cyprus,2022,8.1,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Cyprus,2023,3.9,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Cyprus,2024,2.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Cyprus,2025,0.8,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Czechia,2016,0.7,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Czechia,2017,2.5,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Czechia,2018,1.9,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Czechia,2019,2.6,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Czechia,2020,3.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Czechia,2021,3.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Czechia,2022,14.8,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Czechia,2023,12.0,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Czechia,2024,2.7,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Czechia,2025,2.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Germany,2016,0.4,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Germany,2017,1.7,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Germany,2018,1.9,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Germany,2019,1.4,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Germany,2020,0.4,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Germany,2021,3.2,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Germany,2022,8.7,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Germany,2023,6.0,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Germany,2024,2.5,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Germany,2025,2.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Denmark,2016,0.0,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Denmark,2017,1.1,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Denmark,2018,0.7,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Denmark,2019,0.7,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Denmark,2020,0.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Denmark,2021,1.9,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Denmark,2022,8.6,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Denmark,2023,3.4,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Denmark,2024,1.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Denmark,2025,1.8,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Estonia,2016,0.8,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Estonia,2017,3.7,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Estonia,2018,3.4,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Estonia,2019,2.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Estonia,2020,-0.6,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Estonia,2021,4.5,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Estonia,2022,19.4,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Estonia,2023,9.1,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Estonia,2024,3.7,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Estonia,2025,4.8,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Greece,2016,0.0,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Greece,2017,1.1,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Greece,2018,0.8,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Greece,2019,0.5,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Greece,2020,-1.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Greece,2021,0.6,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Greece,2022,9.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Greece,2023,4.2,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Greece,2024,3.0,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Greece,2025,2.9,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Spain,2016,-0.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Spain,2017,2.0,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Spain,2018,1.7,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Spain,2019,0.8,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Spain,2020,-0.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Spain,2021,3.0,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Spain,2022,8.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Spain,2023,3.4,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Spain,2024,2.9,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Spain,2025,2.7,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Finland,2016,0.4,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Finland,2017,0.8,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Finland,2018,1.2,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Finland,2019,1.1,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Finland,2020,0.4,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Finland,2021,2.1,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Finland,2022,7.2,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Finland,2023,4.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Finland,2024,1.0,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Finland,2025,1.8,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,France,2016,0.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,France,2017,1.2,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,France,2018,2.1,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,France,2019,1.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,France,2020,0.5,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,France,2021,2.1,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,France,2022,5.9,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,France,2023,5.7,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,France,2024,2.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,France,2025,0.9,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Croatia,2016,-0.6,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Croatia,2017,1.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Croatia,2018,1.6,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Croatia,2019,0.8,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Croatia,2020,0.0,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Croatia,2021,2.7,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Croatia,2022,10.7,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Croatia,2023,8.4,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Croatia,2024,4.0,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Croatia,2025,4.4,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Hungary,2016,0.4,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Hungary,2017,2.4,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Hungary,2018,2.9,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Hungary,2019,3.4,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Hungary,2020,3.4,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Hungary,2021,5.2,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Hungary,2022,15.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Hungary,2023,17.0,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Hungary,2024,3.7,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Hungary,2025,4.4,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Ireland,2016,-0.2,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Ireland,2017,0.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Ireland,2018,0.7,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Ireland,2019,0.9,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Ireland,2020,-0.5,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Ireland,2021,2.4,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Ireland,2022,8.1,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Ireland,2023,5.2,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Ireland,2024,1.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Ireland,2025,2.1,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Iceland,2018,0.7,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Iceland,2019,2.0,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Iceland,2020,1.2,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Iceland,2021,3.7,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Iceland,2022,5.7,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Iceland,2023,8.0,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Iceland,2024,4.5,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Iceland,2025,3.7,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Italy,2016,-0.1,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Italy,2017,1.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Italy,2018,1.2,,
